day, strategy_name, total, success, fail
2021-11-02,海龟交易法则,371,92,249
2021-11-02,放量上涨,14,2,8
2021-11-02,突破平台,37,5,28
2021-11-02,均线多头,173,46,124
2021-11-02,无大幅回撤,12,3,9
2021-11-02,停机坪,9,2,6
2021-11-16,海龟交易法则,624,87,461
2021-11-16,放量上涨,9,3,6
2021-11-16,突破平台,44,10,28
2021-11-16,均线多头,283,67,201
2021-11-16,无大幅回撤,15,5,10
2021-11-16,停机坪,29,7,20
2021-11-17,海龟交易法则,1002,172,700
2021-11-17,放量上涨,3,0,3
2021-11-17,突破平台,45,6,30
2021-11-17,均线多头,318,57,246
2021-11-17,无大幅回撤,19,9,10
2021-11-17,停机坪,30,6,21
2021-11-03,海龟交易法则,298,76,199
2021-11-03,放量上涨,2,1,1
2021-11-03,突破平台,38,6,26
2021-11-03,均线多头,169,40,121
2021-11-03,无大幅回撤,12,2,8
2021-11-03,停机坪,10,2,7
2023-02-28,海龟交易法则,389,48,299
2023-02-28,放量上涨,19,4,14
2023-02-28,突破平台,181,16,148
2023-02-28,均线多头,115,21,86
2023-02-28,无大幅回撤,9,3,3
2023-02-28,停机坪,11,0,11
2021-11-15,海龟交易法则,1429,215,1048
2021-11-15,放量上涨,8,1,5
2021-11-15,突破平台,43,3,36
2021-11-15,均线多头,256,61,179
2021-11-15,无大幅回撤,14,4,10
2021-11-15,停机坪,28,6,19
2021-11-01,海龟交易法则,497,100,350
2021-11-01,放量上涨,17,1,15
2021-11-01,突破平台,38,8,25
2021-11-01,均线多头,189,39,134
2021-11-01,无大幅回撤,10,4,6
2021-11-01,停机坪,7,1,5
2021-11-10,海龟交易法则,1121,301,690
2021-11-10,放量上涨,6,1,4
2021-11-10,突破平台,34,9,20
2021-11-10,均线多头,210,61,136
2021-11-10,无大幅回撤,11,3,8
2021-11-10,停机坪,26,9,14
2021-11-04,海龟交易法则,692,144,490
2021-11-04,放量上涨,2,0,2
2021-11-04,突破平台,37,8,25
2021-11-04,均线多头,176,28,140
2021-11-04,无大幅回撤,11,2,8
2021-11-04,停机坪,20,3,15
2021-11-05,海龟交易法则,487,142,312
2021-11-05,放量上涨,6,0,6
2021-11-05,突破平台,33,7,21
2021-11-05,均线多头,182,50,122
2021-11-05,无大幅回撤,10,3,7
2021-11-05,停机坪,22,4,15
2021-11-11,海龟交易法则,1235,203,883
2021-11-11,放量上涨,29,0,28
2021-11-11,突破平台,43,3,34
2021-11-11,均线多头,209,50,148
2021-11-11,无大幅回撤,13,4,9
2021-11-11,停机坪,27,8,17
2021-11-12,海龟交易法则,1169,268,763
2021-11-12,放量上涨,9,1,6
2021-11-12,突破平台,41,5,33
2021-11-12,均线多头,227,51,164
2021-11-12,无大幅回撤,14,4,10
2021-11-12,停机坪,29,8,20
2021-09-28,海龟交易法则,132,16,112
2021-09-28,放量上涨,5,2,3
2021-09-28,突破平台,56,15,36
2021-09-28,均线多头,171,15,152
2021-09-28,无大幅回撤,10,0,10
2021-09-28,停机坪,19,2,17
2021-10-21,海龟交易法则,109,14,90
2021-10-21,突破平台,38,5,32
2021-10-21,均线多头,30,8,21
2021-10-21,无大幅回撤,8,3,5
2021-10-21,停机坪,6,1,5
2021-09-29,海龟交易法则,57,12,39
2021-09-29,放量上涨,7,3,4
2021-09-29,突破平台,55,15,32
2021-09-29,均线多头,150,14,130
2021-09-29,无大幅回撤,9,1,6
2021-09-29,停机坪,15,1,13
2021-09-15,海龟交易法则,401,39,345
2021-09-15,放量上涨,7,2,5
2021-09-15,突破平台,62,8,51
2021-09-15,均线多头,195,21,171
2021-09-15,无大幅回撤,26,4,22
2021-09-15,停机坪,25,5,17
2023-03-21,海龟交易法则,148,0,148
2023-03-21,放量上涨,7,0,7
2023-03-21,突破平台,105,0,105
2023-03-21,均线多头,24,0,24
2023-03-21,无大幅回撤,3,0,3
2023-03-21,停机坪,3,0,3
2023-03-09,海龟交易法则,411,50,328
2023-03-09,放量上涨,20,6,13
2023-03-09,突破平台,271,35,223
2023-03-09,均线多头,74,16,55
2023-03-09,无大幅回撤,3,0,3
2023-03-09,停机坪,8,1,6
2023-03-08,海龟交易法则,233,33,176
2023-03-08,放量上涨,7,1,6
2023-03-08,突破平台,252,39,190
2023-03-08,均线多头,71,16,51
2023-03-08,无大幅回撤,4,2,2
2023-03-08,停机坪,9,1,8
2023-03-20,海龟交易法则,140,0,140
2023-03-20,放量上涨,10,0,10
2023-03-20,突破平台,104,0,104
2023-03-20,均线多头,28,0,28
2023-03-20,无大幅回撤,3,0,3
2023-03-20,停机坪,5,0,5
2021-09-16,海龟交易法则,237,23,210
2021-09-16,放量上涨,9,2,7
2021-09-16,突破平台,62,10,49
2021-09-16,均线多头,209,17,190
2021-09-16,无大幅回撤,20,3,17
2021-09-16,停机坪,25,4,21
2021-10-27,海龟交易法则,111,19,88
2021-10-27,放量上涨,1,0,1
2021-10-27,突破平台,31,10,18
2021-10-27,均线多头,43,11,30
2021-10-27,无大幅回撤,10,6,3
2021-10-27,停机坪,6,0,6
2023-03-18,海龟交易法则,437,0,437
2023-03-18,放量上涨,9,0,9
2023-03-18,突破平台,265,0,265
2023-03-18,均线多头,93,0,93
2023-03-18,无大幅回撤,13,0,13
2023-03-18,停机坪,6,0,6
2021-12-22,海龟交易法则,708,90,581
2021-12-22,放量上涨,13,1,11
2021-12-22,突破平台,62,11,46
2021-12-22,均线多头,232,23,196
2021-12-22,无大幅回撤,17,1,13
2023-03-19,海龟交易法则,437,0,437
2023-03-19,放量上涨,9,0,9
2023-03-19,突破平台,265,0,265
2023-03-19,均线多头,93,0,93
2023-03-19,无大幅回撤,13,0,13
2023-03-19,停机坪,6,0,6
2021-10-26,海龟交易法则,134,33,93
2021-10-26,放量上涨,4,1,3
2021-10-26,突破平台,25,10,10
