day,strategy_name,interval,total,success,fail
2021-09-15,海龟放量,1,8,0,8
2021-09-15,海龟放量,2,8,0,8
2021-09-15,海龟放量,3,8,0,8
2021-09-15,海龟放量,4,8,0,8
2021-09-15,海龟放量,5,8,0,8
2021-09-15,海龟放量,6,8,0,8
2021-09-15,海龟放量,7,8,0,8
2021-09-15,海龟放量,8,8,0,8
2021-09-15,海龟放量,9,8,0,8
2021-09-15,海龟均线,1,100,8,84
2021-09-15,海龟均线,2,100,14,80
2021-09-15,海龟均线,3,100,18,76
2021-09-15,海龟均线,4,100,12,84
2021-09-15,海龟均线,5,100,6,94
2021-09-15,海龟均线,6,100,2,98
2021-09-15,海龟均线,7,100,2,94
2021-09-15,海龟均线,8,100,0,100
2021-09-15,海龟均线,9,100,0,98
2021-09-15,海龟突破,1,8,0,8
2021-09-15,海龟突破,2,8,2,6
2021-09-15,海龟突破,3,8,2,6
2021-09-15,海龟突破,4,8,2,6
2021-09-15,海龟突破,5,8,0,8
2021-09-15,海龟突破,6,8,0,8
2021-09-15,海龟突破,7,8,0,8
2021-09-15,海龟突破,8,8,0,8
2021-09-15,海龟突破,9,8,0,8
2021-09-15,均线突破,1,6,0,6
2021-09-15,均线突破,2,6,0,6
2021-09-15,均线突破,3,6,0,6
2021-09-15,均线突破,4,6,0,6
2021-09-15,均线突破,5,6,0,6
2021-09-15,均线突破,6,6,0,6
2021-09-15,均线突破,7,6,0,6
2021-09-15,均线突破,8,6,0,6
2021-09-15,均线突破,9,6,0,6
2021-09-15,海龟均线突破,1,4,0,4
2021-09-15,海龟均线突破,2,4,0,4
2021-09-15,海龟均线突破,3,4,0,4
2021-09-15,海龟均线突破,4,4,0,4
2021-09-15,海龟均线突破,5,4,0,4
2021-09-15,海龟均线突破,6,4,0,4
2021-09-15,海龟均线突破,7,4,0,4
2021-09-15,海龟均线突破,8,4,0,4
2021-09-15,海龟均线突破,9,4,0,4
2021-09-16,海龟放量,1,5,0,4
2021-09-16,海龟放量,2,5,1,2
2021-09-16,海龟放量,3,5,0,3
2021-09-16,海龟放量,4,5,1,4
2021-09-16,海龟放量,5,5,1,4
2021-09-16,海龟放量,6,5,1,4
2021-09-16,海龟放量,7,5,1,4
2021-09-16,海龟放量,8,5,1,4
2021-09-16,海龟放量,9,5,1,4
2021-09-16,海龟均线,1,35,5,29
2021-09-16,海龟均线,2,35,12,23
2021-09-16,海龟均线,3,35,7,28
2021-09-16,海龟均线,4,35,2,32
2021-09-16,海龟均线,5,35,1,34
2021-09-16,海龟均线,6,35,1,33
2021-09-16,海龟均线,7,35,0,35
2021-09-16,海龟均线,8,35,0,33
2021-09-16,海龟均线,9,35,0,34
2021-09-16,海龟突破,1,3,0,3
2021-09-16,海龟突破,2,3,0,3
2021-09-16,海龟突破,3,3,0,3
2021-09-16,海龟突破,4,3,0,3
2021-09-16,海龟突破,5,3,0,3
2021-09-16,海龟突破,6,3,0,3
2021-09-16,海龟突破,7,3,0,3
2021-09-16,海龟突破,8,3,0,3
2021-09-16,海龟突破,9,3,0,3
2021-09-16,均线突破,1,3,0,3
2021-09-16,均线突破,2,3,0,3
2021-09-16,均线突破,3,3,0,3
2021-09-16,均线突破,4,3,0,3
2021-09-16,均线突破,5,3,0,3
2021-09-16,均线突破,6,3,0,3
2021-09-16,均线突破,7,3,0,3
2021-09-16,均线突破,8,3,0,3
2021-09-16,均线突破,9,3,0,3
2021-09-16,海龟均线突破,1,2,0,2
2021-09-16,海龟均线突破,2,2,0,2
2021-09-16,海龟均线突破,3,2,0,2
2021-09-16,海龟均线突破,4,2,0,2
2021-09-16,海龟均线突破,5,2,0,2
2021-09-16,海龟均线突破,6,2,0,2
2021-09-16,海龟均线突破,7,2,0,2
2021-09-16,海龟均线突破,8,2,0,2
2021-09-16,海龟均线突破,9,2,0,2
2021-09-22,海龟放量,1,12,3,8
2021-09-22,海龟放量,2,12,4,7
2021-09-22,海龟放量,3,12,1,9
2021-09-22,海龟放量,4,12,4,4
2021-09-22,海龟放量,5,12,3,7
2021-09-22,海龟放量,6,12,3,7
2021-09-22,海龟放量,7,12,3,8
2021-09-22,海龟放量,8,12,1,10
2021-09-22,海龟放量,9,12,0,12
