 [2023-03-22 23:05:56,801] - [backtest_tmp.py] - [day:2021-11-02, 海龟交易法则 在 5 天后, 总数:371, 成功数:92, 失败数:249, 成功率: 24.80%, 失败率 67.12%]
 [2023-03-22 23:05:56,851] - [backtest_tmp.py] - [day:2021-11-02, 放量上涨 在 5 天后, 总数:14, 成功数:2, 失败数:8, 成功率: 14.29%, 失败率 57.14%]
 [2023-03-22 23:05:56,959] - [backtest_tmp.py] - [day:2021-11-02, 突破平台 在 5 天后, 总数:37, 成功数:5, 失败数:28, 成功率: 13.51%, 失败率 75.68%]
 [2023-03-22 23:05:57,353] - [backtest_tmp.py] - [day:2021-11-02, 均线多头 在 5 天后, 总数:173, 成功数:46, 失败数:124, 成功率: 26.59%, 失败率 71.68%]
 [2023-03-22 23:05:57,376] - [backtest_tmp.py] - [day:2021-11-02, 无大幅回撤 在 5 天后, 总数:12, 成功数:3, 失败数:9, 成功率: 25.00%, 失败率 75.00%]
 [2023-03-22 23:05:57,400] - [backtest_tmp.py] - [day:2021-11-02, 停机坪 在 5 天后, 总数:9, 成功数:2, 失败数:6, 成功率: 22.22%, 失败率 66.67%]
 [2023-03-22 23:05:58,839] - [backtest_tmp.py] - [day:2021-11-16, 海龟交易法则 在 5 天后, 总数:624, 成功数:87, 失败数:461, 成功率: 13.94%, 失败率 73.88%]
 [2023-03-22 23:05:58,856] - [backtest_tmp.py] - [day:2021-11-16, 放量上涨 在 5 天后, 总数:9, 成功数:3, 失败数:6, 成功率: 33.33%, 失败率 66.67%]
 [2023-03-22 23:05:58,980] - [backtest_tmp.py] - [day:2021-11-16, 突破平台 在 5 天后, 总数:44, 成功数:10, 失败数:28, 成功率: 22.73%, 失败率 63.64%]
 [2023-03-22 23:05:59,553] - [backtest_tmp.py] - [day:2021-11-16, 均线多头 在 5 天后, 总数:283, 成功数:67, 失败数:201, 成功率: 23.67%, 失败率 71.02%]
 [2023-03-22 23:05:59,582] - [backtest_tmp.py] - [day:2021-11-16, 无大幅回撤 在 5 天后, 总数:15, 成功数:5, 失败数:10, 成功率: 33.33%, 失败率 66.67%]
 [2023-03-22 23:05:59,658] - [backtest_tmp.py] - [day:2021-11-16, 停机坪 在 5 天后, 总数:29, 成功数:7, 失败数:20, 成功率: 24.14%, 失败率 68.97%]
 [2023-03-22 23:06:01,843] - [backtest_tmp.py] - [day:2021-11-17, 海龟交易法则 在 5 天后, 总数:1002, 成功数:172, 失败数:700, 成功率: 17.17%, 失败率 69.86%]
 [2023-03-22 23:06:01,852] - [backtest_tmp.py] - [day:2021-11-17, 放量上涨 在 5 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:01,970] - [backtest_tmp.py] - [day:2021-11-17, 突破平台 在 5 天后, 总数:45, 成功数:6, 失败数:30, 成功率: 13.33%, 失败率 66.67%]
 [2023-03-22 23:06:02,582] - [backtest_tmp.py] - [day:2021-11-17, 均线多头 在 5 天后, 总数:318, 成功数:57, 失败数:246, 成功率: 17.92%, 失败率 77.36%]
 [2023-03-22 23:06:02,626] - [backtest_tmp.py] - [day:2021-11-17, 无大幅回撤 在 5 天后, 总数:19, 成功数:9, 失败数:10, 成功率: 47.37%, 失败率 52.63%]
 [2023-03-22 23:06:02,706] - [backtest_tmp.py] - [day:2021-11-17, 停机坪 在 5 天后, 总数:30, 成功数:6, 失败数:21, 成功率: 20.00%, 失败率 70.00%]
 [2023-03-22 23:06:03,346] - [backtest_tmp.py] - [day:2021-11-03, 海龟交易法则 在 5 天后, 总数:298, 成功数:76, 失败数:199, 成功率: 25.50%, 失败率 66.78%]
