 [2023-03-29 20:39:27,108] - [backtest_tmp.py] - [day:2021-09-15, 海龟放量 在 1 天后, 总数:8, 成功数:0, 失败数:8, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:27,126] - [backtest_tmp.py] - [day:2021-09-15, 海龟放量 在 2 天后, 总数:8, 成功数:0, 失败数:8, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:27,143] - [backtest_tmp.py] - [day:2021-09-15, 海龟放量 在 3 天后, 总数:8, 成功数:0, 失败数:8, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:27,159] - [backtest_tmp.py] - [day:2021-09-15, 海龟放量 在 4 天后, 总数:8, 成功数:0, 失败数:8, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:27,175] - [backtest_tmp.py] - [day:2021-09-15, 海龟放量 在 5 天后, 总数:8, 成功数:0, 失败数:8, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:27,194] - [backtest_tmp.py] - [day:2021-09-15, 海龟放量 在 6 天后, 总数:8, 成功数:0, 失败数:8, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:27,211] - [backtest_tmp.py] - [day:2021-09-15, 海龟放量 在 7 天后, 总数:8, 成功数:0, 失败数:8, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:27,228] - [backtest_tmp.py] - [day:2021-09-15, 海龟放量 在 8 天后, 总数:8, 成功数:0, 失败数:8, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:27,246] - [backtest_tmp.py] - [day:2021-09-15, 海龟放量 在 9 天后, 总数:8, 成功数:0, 失败数:8, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:27,478] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线 在 1 天后, 总数:100, 成功数:8, 失败数:84, 成功率: 8.00%, 失败率 84.00%]
 [2023-03-29 20:39:27,669] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线 在 2 天后, 总数:100, 成功数:14, 失败数:80, 成功率: 14.00%, 失败率 80.00%]
 [2023-03-29 20:39:27,883] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线 在 3 天后, 总数:100, 成功数:18, 失败数:76, 成功率: 18.00%, 失败率 76.00%]
 [2023-03-29 20:39:28,180] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线 在 4 天后, 总数:100, 成功数:12, 失败数:84, 成功率: 12.00%, 失败率 84.00%]
 [2023-03-29 20:39:28,384] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线 在 5 天后, 总数:100, 成功数:6, 失败数:94, 成功率: 6.00%, 失败率 94.00%]
 [2023-03-29 20:39:28,584] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线 在 6 天后, 总数:100, 成功数:2, 失败数:98, 成功率: 2.00%, 失败率 98.00%]
 [2023-03-29 20:39:28,785] - [backtest_tmp.py] - [day:2021-09-15, 海龟均线 在 7 天后, 总数:100, 成功数:2, 失败数:94, 成功率: 2.00%, 失败率 94.00%]
